***************************************
LOG STARTED: Mon, 02 Apr 2018 10:27:12
***************************************
LOG STARTED: Mon, 02 Apr 2018 10:29:27
***************************************
LOG STARTED: Mon, 02 Apr 2018 10:30:10
***************************************
LOG STARTED: Mon, 02 Apr 2018 10:30:23
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:46:09
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:46:18
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:47:41
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:48:54
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:49:21
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:50:03
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:51:56
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:52:31
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:52:44
***************************************
LOG STARTED: Mon, 02 Apr 2018 16:52:54
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:17:20
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:18:39
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:30:30
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:32:44
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:33:47
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:34:44
***************************************
LOG STARTED: Tue, 03 Apr 2018 09:35:52
